run_accession,fastq_ftp,fastq_md5,fastq_bytes
SRR11249513,ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/013/SRR11249513/SRR11249513.fastq.gz,cb13bce5cbfd691d6f0769e10f07f0b6,1080038168
SRR11249512,ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/012/SRR11249512/SRR11249512.fastq.gz,88a088e0447d6ab9420c13eeda5dc216,1046541245
SRR11249511,ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/011/SRR11249511/SRR11249511.fastq.gz,f9ee6691aeb4df884f8c75a58d15ade8,1066664376
SRR11249510,ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/010/SRR11249510/SRR11249510.fastq.gz,69f5e02ac0d70d73fb1019b812b55c94,1114259453
SRR11249509,ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/009/SRR11249509/SRR11249509.fastq.gz,c0ea9f54ec357f6e754080d183b0575a,963887385
SRR11249508,ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/008/SRR11249508/SRR11249508.fastq.gz,6fe968d3c4e8aae30528d0b18aacc608,1023972107
SRR11249507,ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/007/SRR11249507/SRR11249507.fastq.gz,b88a4280df9a4c7fcd4a264365198e21,1062090756
SRR11249506,ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/006/SRR11249506/SRR11249506.fastq.gz,5d429e0c37404c7900b4eecd57320ff8,952241201
SRR11249505,ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/005/SRR11249505/SRR11249505.fastq.gz,ceed830b0d8f25eaa8e07eee4e3e6122,1068133574
SRR11249504,ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/004/SRR11249504/SRR11249504.fastq.gz,14057308854d4a3be73ec354ead6f95f,1021609752
SRR11249503,ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/003/SRR11249503/SRR11249503.fastq.gz,cccabee547db426fe277a95e0c61a484,1123205068
SRR11249502,ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/002/SRR11249502/SRR11249502.fastq.gz,859d6786b20f060a4a60d007ba71cca2,1082116696
SRR14746971,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/071/SRR14746971/SRR14746971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/071/SRR14746971/SRR14746971_2.fastq.gz,b85e2776698f58c39d6324af1b8d9f61;196a8d57c192b25f95c50bfaf7d7b23b,1727843459;1700582196
SRR14746972,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/072/SRR14746972/SRR14746972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/072/SRR14746972/SRR14746972_2.fastq.gz,391e3e5912cfff5171b08c40133f54ca;b23d50682b0132ef02608ee3a76174b9,1339611162;1505680965
SRR14746973,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/073/SRR14746973/SRR14746973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/073/SRR14746973/SRR14746973_2.fastq.gz,14d29d7c0b803bd8d98a4e56aa58ceb6;caf58396bbf9591fc0aac70670e4b8f3,2325584286;2548868749
SRR14746974,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/074/SRR14746974/SRR14746974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/074/SRR14746974/SRR14746974_2.fastq.gz,025b50791b1383b47ce2a18f4cbae56d;b9b33d11013c398131610773113b55a3,1711024321;1936007969
SRR14746975,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/075/SRR14746975/SRR14746975_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/075/SRR14746975/SRR14746975_2.fastq.gz,b7b1cb517b63f60cd1e7ec4faa698bd8;8d7b7da2a8915fd2d8b5c42f88e603fc,1449781623;1620324338
SRR14746976,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/076/SRR14746976/SRR14746976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/076/SRR14746976/SRR14746976_2.fastq.gz,f4864b9841e37ff04f37038f5572cf05;b9410296e7e86301948ba54c4bc2ee98,1479251371;1622716774
SRR14746977,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/077/SRR14746977/SRR14746977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/077/SRR14746977/SRR14746977_2.fastq.gz,18df0cb365ac005f30e75c6cd98b067f;2a6c65d6174eba39f57635f638aa50ec,1771852393;1942449277
SRR14746978,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/078/SRR14746978/SRR14746978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/078/SRR14746978/SRR14746978_2.fastq.gz,5819eba90aaf3d448462437518aad1c3;ac4bb83c10947537b4917d32316872b0,1681780252;1887680641
SRR14746979,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/079/SRR14746979/SRR14746979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/079/SRR14746979/SRR14746979_2.fastq.gz,f61ad0ab36b4d93cf8c1f95683e64a98;fe871af847e231a3df5573209d4fbfe4,1470749458;1650586670
SRR14746980,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/080/SRR14746980/SRR14746980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/080/SRR14746980/SRR14746980_2.fastq.gz,ca2e924afd836d3751aef37dce323163;7dc235b34c8cf62199fdfaf9a2c4639d,1845812718;2050111753
SRR14746981,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/081/SRR14746981/SRR14746981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/081/SRR14746981/SRR14746981_2.fastq.gz,d7c8853fcd0447123cb47c34e5b4b6e5;d78e936fe1e02ca5d65a2619d4bef65f,1775902354;1812037394
SRR14746982,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/082/SRR14746982/SRR14746982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/082/SRR14746982/SRR14746982_2.fastq.gz,099e27c1f7f6630d63543e6b5845fbcf;32f3cc81aca8bbeac2aa67a34d58e241,1780573007;1968765113
SRR14746983,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/083/SRR14746983/SRR14746983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/083/SRR14746983/SRR14746983_2.fastq.gz,068038fa5ce4e5bddcdb0e16b3d7b71f;8fe135f444403feeed2ddda62c768735,1705658246;1920474133
SRR14746984,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/084/SRR14746984/SRR14746984_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/084/SRR14746984/SRR14746984_2.fastq.gz,01d32e0676936996cdb5483938862387;d9df7e9c8c8bc9e5218595779bfdd4a3,1690355777;1885007236
SRR14746985,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/085/SRR14746985/SRR14746985_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/085/SRR14746985/SRR14746985_2.fastq.gz,a3cbb0375a64e4b47a2e5aa9c7b401dc;704ffcd2ba0177435f800c01d5d92edd,1374951304;1556218867
SRR14746986,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/086/SRR14746986/SRR14746986_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/086/SRR14746986/SRR14746986_2.fastq.gz,b00b96200234103828113858df1a6a9a;2c239849a3d917be958679d63591787b,1086972844;1193486814
SRR14746987,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/087/SRR14746987/SRR14746987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/087/SRR14746987/SRR14746987_2.fastq.gz,00479033f0e8e2dbef3fb439bf01f2d0;13cc023c387d83c6b6cd9be5d9847933,1338507768;1532627422
SRR14746988,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/088/SRR14746988/SRR14746988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/088/SRR14746988/SRR14746988_2.fastq.gz,fd00eee22374e30fa9fa4039dbd6768b;e7ded27b01a641717ccfcf8191c14059,1811478429;2013764372
SRR14746989,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/089/SRR14746989/SRR14746989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/089/SRR14746989/SRR14746989_2.fastq.gz,1657971fe7d102698e3dd876aba59070;6e320e04085c7e53164ec8274023acea,1757271792;1964342368
SRR14746990,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/090/SRR14746990/SRR14746990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/090/SRR14746990/SRR14746990_2.fastq.gz,9ee79c5f4e61709801fd3e7d401bbf68;d660da32b0b478f640e2ff5c03acf591,1503817973;1679143677
SRR3987296,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/006/SRR3987296/SRR3987296.fastq.gz,aa104a4af8bb00c967acf5d1fe0dfe07,1043097534
SRR3987297,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/007/SRR3987297/SRR3987297.fastq.gz,1fbd3bd9fe3a30a92b6ef857bbc4e37c,1710448100
SRR3987298,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/008/SRR3987298/SRR3987298.fastq.gz,4bb61f5f2b827d73d4a674c0ba0ad9ef,1698351361
SRR3987299,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/009/SRR3987299/SRR3987299.fastq.gz,e87ab7a7e89a3dc93685c2f1d02572cf,1663698682
SRR3987300,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/000/SRR3987300/SRR3987300.fastq.gz,c3a49bed605c453f631b44c1c95ba1e1,1629312907
SRR3987301,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/001/SRR3987301/SRR3987301.fastq.gz,e24fa22b7f283475ee8904bfc36b0db9,1532560223
SRR3987302,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/002/SRR3987302/SRR3987302.fastq.gz,aef061d86866c0f368307075808de9f6,2731742866
SRR3987303,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/003/SRR3987303/SRR3987303.fastq.gz,c6a8c49ea0a2b08b7ba363301d00b200,2458107948
SRR3987304,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/004/SRR3987304/SRR3987304.fastq.gz,4ddb33790b9f2ea764c5146fb430f42a,2410579091
SRR3987305,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/005/SRR3987305/SRR3987305.fastq.gz,396735d70dd939fc21ab242429c17d94,1232411326
SRR3987306,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/006/SRR3987306/SRR3987306.fastq.gz,bac2d834b4a7a4bcdfa315758eeaf9f6,1079518156
SRR3987307,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/007/SRR3987307/SRR3987307.fastq.gz,6da7010b48279cf401b4eb66b8601885,1187869214
SRR3987308,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/008/SRR3987308/SRR3987308.fastq.gz,e184d792eb3abfb23fa809179b5b5fc5,1235375982
SRR3987309,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/009/SRR3987309/SRR3987309.fastq.gz,c47a8f6af1fa5ce5450bff271c5a1f0c,1117623904
SRR3987310,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/000/SRR3987310/SRR3987310.fastq.gz,11442b1536dc6f582ae7970f85c3097f,1093874904
SRR3987311,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/001/SRR3987311/SRR3987311.fastq.gz,5ef38753123e318f554e034368977b85,1093884457
SRR3987312,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/002/SRR3987312/SRR3987312.fastq.gz,6753ec09dc4163dac61578da1653d9fa,1081963321
SRR3987313,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/003/SRR3987313/SRR3987313.fastq.gz,75828e3893b86177ec21ea8b46a7dcb3,1013228231
SRR5988248,ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5988248/SRR5988248.fastq.gz,d24d195f9eeb8f9cf98b3a4f0b86ebdc,1502276806
SRR5988247,ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5988247/SRR5988247.fastq.gz,a174ac97f375c82c8e632125d2a97bb5,1396901109
SRR5988246,ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5988246/SRR5988246.fastq.gz,2baa67a4b99f1fdf578b0ee1967917de,1312209919
SRR5988245,ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5988245/SRR5988245.fastq.gz,bd192028278c9353b75093512837df97,1492300669
SRR5988244,ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988244/SRR5988244.fastq.gz,e1491c2149ab3c6012b4422ce796cfd7,1381986321
SRR5988243,ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5988243/SRR5988243.fastq.gz,fc19234c1cc8fb6c93db491dff8375cc,1381963573
SRR10269732,ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/032/SRR10269732/SRR10269732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/032/SRR10269732/SRR10269732_2.fastq.gz,a99735e3d4a2befef3f3ea9f767aeefa;407841a6f4b43cb06fe79ed4d2e245ee,1897736485;1960318878
SRR10269731,ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/031/SRR10269731/SRR10269731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/031/SRR10269731/SRR10269731_2.fastq.gz,3cfba359941a9658d7802ac6325619e5;8e4314fe5b4972b38f32abf64197be1c,2174007856;2231000182
SRR10269730,ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/030/SRR10269730/SRR10269730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/030/SRR10269730/SRR10269730_2.fastq.gz,3cd5d820fe0aba42fa3e9356b27e945e;e60701bab0b483dcab6d47fade85f8cf,1837156863;1887708718
SRR10269729,ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/029/SRR10269729/SRR10269729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/029/SRR10269729/SRR10269729_2.fastq.gz,0463bb2f0eda70b2dfbd70ba86a06e59;7b01790d5838a4248d77d11d3a06f1be,2172817555;2215727670
SRR10269728,ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/028/SRR10269728/SRR10269728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/028/SRR10269728/SRR10269728_2.fastq.gz,a110c6c4348a3ec01fa20216da5b89bf;42aec9e0f10878ff12ea7b227e92a348,1957065715;2006644859
SRR10269727,ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/027/SRR10269727/SRR10269727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/027/SRR10269727/SRR10269727_2.fastq.gz,075c7a3df2fbfadfdf86667e9a9d103c;74ae52000e9e6e7b24b81a24131ea719,2057257939;2110346713
